,track_uri,track_name,track_pop,artist_uri,artist_name,artist_pop,artist_genres,album,album_uri
137,4y9tKMhrx5uepqljKj7wq9,To The Beat,61,73jBynjsVtofjRpdpRAJGk,Dimitri Vegas & Like Mike,71,"['belgian dance', 'belgian edm', 'big room', 'dutch house', 'edm', 'electro house', 'pop dance', 'progressive electro house']",To The Beat,spotify:album:6ICIY47SvWgH6mOhtgY5au
138,57cI63EBY6FqAhgzQxMSCT,"Trucks, Ducks, Bucks & Beer",46,46c50yWMo9wiTgVe1VxBbQ,Brian Kelley,51,['modern country pop'],"Trucks, Ducks, Bucks & Beer",spotify:album:0ZUnvfZAa49HJeEZOX58vw
139,4GEmQTg7yfnfZoNhgpCg61,Dizzy,67,5vBSrE1xujD2FXYRarbAXc,Olly Alexander (Years & Years),65,"['dance pop', 'gauze pop', 'pop', 'pop dance', 'uk pop']",Dizzy,spotify:album:7rzYlWpOSJKwcDOzW65qdY
140,2vg7glr5QyeFPRES12Exx4,Too Fun,55,6vXTefBL93Dj5IqAWq6OTv,French Montana,73,"['hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",Mac & Cheese 5,spotify:album:5eNbrlazXci6OR5uQeFfV3
141,5ivI4ndsDzRgUpxfTlziPZ,Best For You and Me,43,69qhRLDvsWJOhWGXXQ0lQQ,Helado Negro,46,"['art pop', 'deep latin alternative', 'experimental pop']",Best For You and Me,spotify:album:2d9jANKXcVUhKC3NKmqC6G
142,1ZtgnRr4uKMOoCzP4vnQDl,Vazou Na Braquiara - Ao Vivo,82,1LIuN7ov1IBQDdLsU83ojl,Hugo & Guilherme,75,"['agronejo', 'arrocha', 'sertanejo', 'sertanejo pop', 'sertanejo universitario']","062, Vol. 1 (Ao Vivo)",spotify:album:7tINLJQHyDGmx24RMv63KH
143,03ECDyILFfQ98k106zwcIt,I Get It Now,50,3lFDsTyYNPQc8WzJExnQWn,Sammy Rae & The Friends,52,['nyc pop'],I Get It Now,spotify:album:5zZHAGHasjwkR9B1xX3Xq6
144,1jwpCm4IwhAIN7Rwls5vzN,Moon Tour,60,6SKusTjOAPsTZ6kareKQdm,TAEYONG,61,['k-pop'],TAP - The 2nd Mini Album,spotify:album:5PliHwqYkEzdXHZnA6scC0
145,04b2mpXXNWDlOlRNYJNX3I,John and Jonathan,48,0wnYgCeP013HkKoOyC5V32,Allie X,53,"['alt z', 'canadian electropop', 'canadian pop', 'dark pop', 'electropop', 'metropopolis']",Girl With No Face,spotify:album:10o3OFqQt0gqemtIcCh72x
146,275XKjLmQFuZnxTvvtJ6VZ,Never Gonna Be Alone (feat. Lizzy McAlpine & John Mayer),56,0QWrMNukfcVOmgEU0FEDyD,Jacob Collier,61,['uk alternative pop'],Djesse Vol. 4,spotify:album:13r6eqjYlKELFQlNvVCBz1
147,1V5MmyrbzDQNjR3iX3JQ0v,Lighter - Galantis & Misha K VIP Mix,52,4sTQVOfp9vEMCemLw50sbu,Galantis,70,"['dance pop', 'edm', 'pop', 'pop dance']",Lighter (Galantis & Misha K VIP Mix),spotify:album:1rLu0gC8WKV5CXwmQw1dgN
148,1hJ5ZpS7L2zYfyi8fDcTYP,"Tested, Approved & Trusted",57,3wcj11K77LjEY1PkEazffa,Burna Boy,76,"['afrobeats', 'azontobeats', 'dancehall', 'nigerian hip hop', 'nigerian pop']","Tested, Approved & Trusted",spotify:album:3i0VuN0GGdWw9PgEHtBWli
149,6WSLKTLNuBZQckLoB4oY6f,Trial And Error (whereabouts),47,6QHP8St0MzfNDqjKpwtMht,xikers,52,['k-pop boy group'],HOUSE OF TRICKY : Trial And Error,spotify:album:4JyXIbXVhgzCa7DU0K6V1O
150,6lADdOFLdgO8aIGeFsOtcc,Thieves,50,3lFDsTyYNPQc8WzJExnQWn,Sammy Rae & The Friends,52,['nyc pop'],Thieves,spotify:album:31RduMkBFIzZCUhLuM3jeE
151,5IJ6OY6JYxeG9dqXbLxs1D,Great Decisions,48,3wWtfT7S2uVJJ3hGZlOLkZ,Judah & the Lion,53,"['banjo', 'folk-pop', 'stomp and holler']",Great Decisions,spotify:album:2hbPEdecB1IsThIxiNdP99
152,7MaM9JVq1UXAGZQ4JFNXMg,Big Big Things (feat. Kizz Daniel & Seyi Vibez),66,4JM1zsVj1pt38Q8mhv5teI,Young Jonn,64,"['afrobeats', 'nigerian pop']",Big Big Things (feat. Kizz Daniel & Seyi Vibez),spotify:album:2CcOmbLxQFIsm5aQu7VSuJ
153,5Mf8pNKP5NlUKL2cbE81iU,Summer Rain (feat. Madison Cunningham & Chris Thile),55,0QWrMNukfcVOmgEU0FEDyD,Jacob Collier,61,['uk alternative pop'],Djesse Vol. 4,spotify:album:13r6eqjYlKELFQlNvVCBz1
154,1d6telYM1rky7HEdY7lA3d,"Tested, Approved & Trusted - Major League DJz Mix",57,3wcj11K77LjEY1PkEazffa,Burna Boy,76,"['afrobeats', 'azontobeats', 'dancehall', 'nigerian hip hop', 'nigerian pop']","Tested, Approved & Trusted",spotify:album:3i0VuN0GGdWw9PgEHtBWli
155,3BOU0eJQjfmhbZsQ76OJi9,You Never Know,50,4M5nCE77Qaxayuhp3fVn4V,Iron & Wine,62,"['acoustic pop', 'chamber pop', 'indie folk', 'indie rock', 'stomp and holler']",You Never Know,spotify:album:5FecyVN6cTbuI1UnwvaYcD
156,5W3Mi5lW7CIr3eTj1cc69p,Pray For Me (with Kendrick Lamar),71,1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,93,"['canadian contemporary r&b', 'canadian pop', 'pop']",The Highlights (Deluxe),spotify:album:18sR8zHx4zsVJUI4bHWuPC
157,6J0ra1nOSQTzOIOvkpVHO8,Skin and Bones - Ballad,45,33NVpKoXjItPwUJTMZIOiY,David Kushner,75,"['gen z singer-songwriter', 'singer-songwriter pop']",Skin and Bones (Reimagined),spotify:album:0PcRW6HkJfsdAgqFOj6eNR
158,67ZvVtW278IHsAxnzglQt4,We Don’t Stop,58,6QHP8St0MzfNDqjKpwtMht,xikers,52,['k-pop boy group'],HOUSE OF TRICKY : Trial And Error,spotify:album:4JyXIbXVhgzCa7DU0K6V1O
159,4LyGLAgz2nPGDWFztV2P50,Skin and Bones - Radio Edit,45,33NVpKoXjItPwUJTMZIOiY,David Kushner,75,"['gen z singer-songwriter', 'singer-songwriter pop']",Skin and Bones,spotify:album:446xB8KNqCjcMpxlzXtLaR
160,5E2lXhEAe1dsQlvAFzykx2,Is What It Is,47,3wWtfT7S2uVJJ3hGZlOLkZ,Judah & the Lion,53,"['banjo', 'folk-pop', 'stomp and holler']",Is What It Is,spotify:album:3EKqraKWALJHm2AZ2cDzSr
161,6kCHieQz25M0EYggaSldfi,Me & This Bottle,45,74a1KhMBkw4iweAtpbjuHk,Jay Webb,56,['modern country pop'],Cowboy Cry + Me & This Bottle,spotify:album:4U2eiBxJifBFuArPwPWpA0
162,49jM6dpP90bqezKoM6iYuN,Between the Earth and the Stars - Live in Berlin,13,0SD4eZCN4Kr0wQk56hCdh2,Bonnie Tyler,66,"['europop', 'new wave pop', 'soft rock']",In Berlin,spotify:album:0Q66TaAigeYo3etuN3gOqb
163,3wNYoEe8zJ6H5TyP7DFzhY,"Dare To Be - From The Motion Picture ""Cabrini""",49,3EA9hVIzKfFiQI0Kikz2wo,Andrea Bocelli,67,"['classical tenor', 'italian tenor', 'operatic pop']","Dare To Be (From The Motion Picture ""Cabrini"")",spotify:album:01W8UVcqmLJilhN9EPr9gt
164,6l1OfxVR2o8Hed0qV1xdE3,shut up & kiss me,46,4Dwhb9SL7iO3L27oXvEiO7,girlfriends,44,['pop punk'],shut up & kiss me,spotify:album:535qi3HMdlkibT9bHtoRxD
165,5lv9EWq0QFIbhXQEufBTSS,Addicted And Clean,41,5ujvZU2thXjZgFKPUt1rDt,Chayce Beckham,62,['modern country pop'],Bad For Me,spotify:album:6vuwxb0fLibvV8pIh071QY
166,7H3cuCPaX9WHZXQ0Q9RlxH,Popular (Sped Up) (with Playboi Carti & Madonna),59,1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,93,"['canadian contemporary r&b', 'canadian pop', 'pop']",Popular,spotify:album:0p0FGxiCrl3afABenvtWbQ
167,7eqD3eFKeLB5MEkOTJVbnb,All Night Long - Oden & Fatzo Remix,43,7keGfmQR4X5w0two1xKZ7d,Kungs,69,"['edm', 'pop dance', 'uk dance']",All Night Long (Oden & Fatzo Remix),spotify:album:6lGfNpGhC3nj6kHMupxFpV
168,3VcRrEGKrLLIACvlr9lvQ7,Green & Gold (feat. Charlotte Plank & Riko Dan) - Darren Styles Remix,50,4WN5naL3ofxrVBgFpguzKo,Rudimental,70,"['pop dance', 'uk dance', 'uk funky']",Green & Gold (feat. Charlotte Plank & Riko Dan) [Darren Styles Remix],spotify:album:23E25lmntiooL6KRV9rSmP
169,0TDxUA0tyHKUT5cTJdOg57,For Some Reason,49,4RwbDag6jWIYJnEGH6Wte9,Drew Holcomb & The Neighbors,54,"['acoustic pop', 'stomp and holler']",For Some Reason,spotify:album:7ANJwDgoGSOOQPti0wz4bI
170,0OWoqy35NqD7uCHP0GfnYz,Hearts and Flowers,47,2DlGxzQSjYe5N6G9nkYghR,Jennifer Lopez,73,"['dance pop', 'pop', 'urban contemporary']",This Is Me...Now (Deluxe),spotify:album:5n2H8XDZfGQS92t0dpTNtg
171,5LJ5YEEuLmD9bk9PEYiUFI,David Byrne Does Hard Times,54,74XFHRwlV6OrjEM0A2NCMF,Paramore,76,"['candy pop', 'modern rock', 'pixie', 'pop', 'pop emo', 'pop punk', 'rock']",David Byrne Does Hard Times,spotify:album:1O2vvoFvP44PCOFdxLHzst
172,3u1c0uyZAOzhEImVeEbFN3,Willing and Able,39,2ErsJAz6qJ5cqjoVAvfvaC,Charles Wesley Godwin,61,['modern country pop'],Live From Echo Mountain,spotify:album:1bALhDEJ1lpNzqbhiObQim
173,1IXm1bSMj92ylJMuMckXbQ,My Mind And I,39,4kAyoGhVlC6PFg0FvMqmFB,Morgan St. Jean,48,"['la pop', 'singer-songwriter pop']",My Mind And I,spotify:album:1wsw4HUirXrCmFXQdmsV86
174,7aL51Oe4h8Mk8GPJHfDzZB,Okay,56,6vXTefBL93Dj5IqAWq6OTv,French Montana,73,"['hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",Mac & Cheese 5,spotify:album:5eNbrlazXci6OR5uQeFfV3
175,4oCQCkMewRYg5fmK2aotPL,B3ND_BUDGE,41,6hxiY0CFXTibGUtp8TdCxp,Belmont,48,"['alternative emo', 'anthem emo', 'chicago pop punk', 'easycore', 'pop punk']",Liminal,spotify:album:0WrtmOTnb3dLugmxuXWIrk
176,61qw8LTaRFn11q37hQB6ns,"yes, and? - a cappella",43,66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,92,['pop'],"yes, and?",spotify:album:6mNdtZhr5zcz2SLzyPxweY
177,2Il3U45zQWlycgFldj8udc,Eden/Lia (Super Duper Remix),41,65o6y7GtoXzchyiJB3r9Ur,Penny and Sparrow,47,"['acoustic pop', 'indie folk', 'indiecoustica', 'stomp and flutter', 'stomp and holler']",Yellow Yellow,spotify:album:5QaT12dKDLUohRKRjy42l9
178,6v4ABPB255HDSWyIj3S9Wn,Lovers In A Past Life (with Rag'n'Bone Man),78,7CajNmpbOovFoOoasH2HaY,Calvin Harris,84,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'pop dance', 'progressive house', 'uk dance']",Lovers In A Past Life (with Rag'n'Bone Man),spotify:album:3VI38DDpgfFMVPrUi69V5B
179,3Dc2Ad9xzWaKY15VjomqQR,"Tested, Approved & Trusted (feat. Prince Swanny)",54,3wcj11K77LjEY1PkEazffa,Burna Boy,76,"['afrobeats', 'azontobeats', 'dancehall', 'nigerian hip hop', 'nigerian pop']","Tested, Approved & Trusted",spotify:album:3i0VuN0GGdWw9PgEHtBWli
180,1VETe3Zs7gjmxYBmsG5MY9,APE,58,6SKusTjOAPsTZ6kareKQdm,TAEYONG,61,['k-pop'],TAP - The 2nd Mini Album,spotify:album:5PliHwqYkEzdXHZnA6scC0
181,6zlFFshL0ufuxbolvx7TmI,"This Lil' Game We Play (feat. Nelly, Ashanti & Juicy J)",51,6nfYGe7IIuuP5bMY1jkJP6,Jermaine Dupri,55,"['atl hip hop', 'contemporary r&b', 'dirty south rap', 'hip pop', 'r&b', 'southern hip hop', 'urban contemporary']","This Lil' Game We Play (feat. Nelly, Ashanti & Juicy J)",spotify:album:6tZArCRW7OATZSOuTtIjfa
182,4Aa6NtW6JQcFEvR831K8xu,oHio (feat. Freddie Gibbs),62,5IcR3N7QB1j6KBL8eImZ8m,ScHoolboy Q,72,"['gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",BLUE LIPS,spotify:album:107WsrBqn5xVPgystkziry
183,6tIsMPVXz7OQEFKXXDcOER,BABE AND I,38,0fA0VVWsXO9YnASrzqfmYu,Kid Cudi,78,"['hip hop', 'ohio hip hop', 'pop rap', 'rap']",INSANO (NITRO MEGA),spotify:album:69LeVueGpsU04FroWz51ym
184,6tFXzOTZCTZ8t62NiLjC5z,Punta Cana,67,4wLXwxDeWQ8mtUIRPxGiD6,Marc Anthony,74,"['latin pop', 'modern salsa', 'salsa', 'tropical']",Punta Cana,spotify:album:55851CfWJef6CzkdeJPpIu
185,2yZHSt4vcKH9k1FWikO4LB,Splash Brothers,53,6vXTefBL93Dj5IqAWq6OTv,French Montana,73,"['hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",Mac & Cheese 5,spotify:album:5eNbrlazXci6OR5uQeFfV3
186,3EpPW347wGkyKJUej8vXqL,Time To Say Goodbye,50,3EA9hVIzKfFiQI0Kikz2wo,Andrea Bocelli,67,"['classical tenor', 'italian tenor', 'operatic pop']",Epic Cinema: Great Film Music,spotify:album:0vcJFYsQc3fVha31bdFtos
187,3wxbMFOaduop2XFO9gKihO,The Scientist,65,73jBynjsVtofjRpdpRAJGk,Dimitri Vegas & Like Mike,71,"['belgian dance', 'belgian edm', 'big room', 'dutch house', 'edm', 'electro house', 'pop dance', 'progressive electro house']",The Scientist,spotify:album:37wPy2LW3iLCALxjZFIdDb
188,7w39EprySaXNfDOqGKDlDR,300 Celular - Ao Vivo,65,7zIRO89G0FBAQtGMHO1Wa0,João Bosco & Vinicius,63,"['agronejo', 'arrocha', 'sertanejo', 'sertanejo pop', 'sertanejo universitario']","Jb&V 21 In Concert, Vol. 3 (Ao Vivo)",spotify:album:2q8EF0QiI7V385AfojH5lz
189,3z3eX1eG1Gj0YFDhYPkTrl,Red Sun,55,6QHP8St0MzfNDqjKpwtMht,xikers,52,['k-pop boy group'],HOUSE OF TRICKY : Trial And Error,spotify:album:4JyXIbXVhgzCa7DU0K6V1O
