track_uri,track_name,track_pop,track_genre,artist_name,artist_pop,artist_followers,artist_genres,album,danceability,energy,key,mode,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,artist_uri,album_uri
6DatgcDt8L8IT1avFUfLEq,All the Way,45,country,Shane Smith & the Saints,54,153415,"['classic texas country', 'red dirt']",All the Way,0.65,0.234,0,1,-11.47,0.0712,0.933,0.00152,0.0587,0.215,57.275,192933,4,4pLxUMyDrijXynrUP59whJ,spotify:album:2YbIAETWom8Y0bCkLFXmb2
2W95OOJnK7srQBaRI8rTzw,Book of Joe,45,country,Shane Smith & the Saints,54,153415,"['classic texas country', 'red dirt']",Norther,0.417,0.777,11,0,-7.275,0.0718,0.00742,0.00366,0.0995,0.151,120.082,278920,4,4pLxUMyDrijXynrUP59whJ,spotify:album:3smnnShnaqQxBcvmDqvGPO
3u8NmmnHh1lf91CNy8weu3,Black and Blue,36,country,Warren Zeiders,67,627675,['modern country pop'],Pretty Little Poison (Deluxe),0.56,0.885,10,1,-3.706,0.0484,0.00326,0.00873,0.123,0.547,135.88,204652,4,7kplJl06UmldxLKseURAYi,spotify:album:7xY5v6aZvo4YZBOZSJbrDa
0897ICH2ldRRDW756NCKYL,Moon & Stars (with Sierra Ferrell),43,country,The Mavericks,48,181975,['neo-traditional country'],Moon & Stars (with Sierra Ferrell),0.646,0.549,7,1,-5.928,0.0281,0.107,0.00602,0.144,0.522,101.082,274838,1,4Ud7lY9V8pOyydumajSW3O,spotify:album:5YzIJswjGq2pFRy8bmD87v
6409U6Jn1lUc9FyIy2ISQ9,Lie Like Me,37,country,Andrew Jannakos,33,71030,['modern country pop'],Lie Like Me,0.57,0.658,8,1,-9.186,0.0306,0.0157,7.43e-05,0.0896,0.578,142.002,175775,4,6DAX5iORnv8nsZYYeZqket,spotify:album:776aGbgL4ktTO8Qd7UFONl
2sEY3b8G71YuHxlu5XWJMN,"Let It Roll - From ""The Garfield Movie""",60,country,Keith Urban,66,5099326,"['australian country', 'australian pop', 'contemporary country', 'country', 'country road', 'modern country rock']","Let It Roll (From ""The Garfield Movie"")",0.774,0.866,9,1,-3.835,0.0891,0.321,0.0,0.0643,0.897,114.066,163640,4,0u2FHSq3ln94y5Q57xazwf,spotify:album:4NpZf8CeLUEZ22RZYfwluT
4bNgEfj3xLEbMgH75sYqvY,Fire in the Ocean,45,country,Shane Smith & the Saints,54,153415,"['classic texas country', 'red dirt']",Norther,0.455,0.711,9,1,-7.701,0.0347,0.122,0.00941,0.094,0.168,128.77,238543,4,4pLxUMyDrijXynrUP59whJ,spotify:album:3smnnShnaqQxBcvmDqvGPO
5hIp0gIhx0xChauyNHMvJi,Southside (feat. t2. & Brodnax),43,country,Upchurch,65,1710320,"['country rap', 'redneck']",Blue Genes II,0.734,0.822,11,0,-5.755,0.26,0.0145,0.0,0.555,0.473,88.101,189178,4,2pSObt5Fk8izuX8ZfI3jRn,spotify:album:7hsF3owHyt9Rt62ZouTPPI
55MOU5MFYnRer2lOb2QJeA,Field of Heather,44,country,Shane Smith & the Saints,54,153415,"['classic texas country', 'red dirt']",Norther,0.497,0.691,2,0,-5.544,0.0285,0.124,0.0,0.235,0.374,133.946,269560,4,4pLxUMyDrijXynrUP59whJ,spotify:album:3smnnShnaqQxBcvmDqvGPO
3CsgjVeFBgU0u678WMfRFF,All the Way,44,country,Shane Smith & the Saints,54,153415,"['classic texas country', 'red dirt']",Norther,0.65,0.234,0,1,-11.47,0.0712,0.933,0.00152,0.0587,0.215,57.275,192933,4,4pLxUMyDrijXynrUP59whJ,spotify:album:3smnnShnaqQxBcvmDqvGPO
0HzZnV2SmvysrMb6VCO3az,Cigarettes and Milk,34,country,Kenny Feidler,39,30451,"['classic texas country', 'red dirt']",Cigarettes and Milk,0.56,0.522,7,1,-9.524,0.0283,0.089,6.6e-06,0.157,0.368,84.083,231029,4,1KqKN0tnaJWwsUfvxDLI1q,spotify:album:0FUGAP7y7d9AZH0pYVt6jx
1ptUisElP9B2P956B5u0s3,Side of the Road (feat. Boosie Badazz & Brodnax),43,country,Upchurch,65,1710320,"['country rap', 'redneck']",Blue Genes II,0.738,0.748,4,0,-5.22,0.179,0.214,1.42e-06,0.21,0.47,147.974,227825,4,2pSObt5Fk8izuX8ZfI3jRn,spotify:album:7hsF3owHyt9Rt62ZouTPPI
0vcMpfHTJTJ7dOJP0m6IvY,Barefoot Blue Jean Night - Live from the Wiltern Theatre,33,country,Jake Owen,63,1880791,"['contemporary country', 'country', 'country road', 'modern country rock']",Palm Trees & Palm Readers - Jake Owen: Live in Los Angeles,0.359,0.817,4,1,-9.579,0.0624,0.00292,0.000149,0.941,0.667,172.167,243893,4,1n2pb9Tsfe4SwAjmUac6YT,spotify:album:3bueDQEMFcyT5rYgTwkFJh
6YmTg2SHvP1QyudfMVb7T5,"1,000 Wild Horses",43,country,Shane Smith & the Saints,54,153415,"['classic texas country', 'red dirt']",Norther,0.427,0.888,0,1,-6.839,0.0874,0.0487,8.2e-05,0.0879,0.34,131.867,224573,4,4pLxUMyDrijXynrUP59whJ,spotify:album:3smnnShnaqQxBcvmDqvGPO
1lGTcci7wdPKI7rUuDvSsA,LAX - Live from the Wiltern Theatre,28,country,Jake Owen,63,1880791,"['contemporary country', 'country', 'country road', 'modern country rock']",Palm Trees & Palm Readers - Jake Owen: Live in Los Angeles,0.298,0.28,3,1,-14.77,0.0331,0.873,0.0,0.914,0.473,165.285,215904,4,1n2pb9Tsfe4SwAjmUac6YT,spotify:album:3bueDQEMFcyT5rYgTwkFJh
7eKIHWpae7XscESXIBExDd,The One That Got Away - Live from the Wiltern Theatre,27,country,Jake Owen,63,1880791,"['contemporary country', 'country', 'country road', 'modern country rock']",Palm Trees & Palm Readers - Jake Owen: Live in Los Angeles,0.343,0.829,0,1,-9.562,0.0655,0.00109,0.00187,0.99,0.59,120.023,231541,4,1n2pb9Tsfe4SwAjmUac6YT,spotify:album:3bueDQEMFcyT5rYgTwkFJh
4uwAnyPO2rGl1JvuDSvZlg,Anywhere With You - Live from the Wiltern Theatre,26,country,Jake Owen,63,1880791,"['contemporary country', 'country', 'country road', 'modern country rock']",Palm Trees & Palm Readers - Jake Owen: Live in Los Angeles,0.456,0.763,5,1,-8.882,0.0353,0.00343,1.13e-05,0.298,0.495,76.009,219392,4,1n2pb9Tsfe4SwAjmUac6YT,spotify:album:3bueDQEMFcyT5rYgTwkFJh
0xBsSwhZVwdfh5nDgqi32W,Alone With You / Stand By Me - Live from the Wiltern Theatre,24,country,Jake Owen,63,1880791,"['contemporary country', 'country', 'country road', 'modern country rock']",Palm Trees & Palm Readers - Jake Owen: Live in Los Angeles,0.395,0.429,7,1,-12.272,0.033,0.0974,2.87e-06,0.986,0.27,107.927,384896,4,1n2pb9Tsfe4SwAjmUac6YT,spotify:album:3bueDQEMFcyT5rYgTwkFJh
30oe3uIDGxvppRMGvohoJj,Yee Haw - Live from the Wiltern Theatre,24,country,Jake Owen,63,1880791,"['contemporary country', 'country', 'country road', 'modern country rock']",Palm Trees & Palm Readers - Jake Owen: Live in Los Angeles,0.546,0.874,7,1,-9.252,0.0546,0.00439,0.00193,0.908,0.507,128.996,213760,4,1n2pb9Tsfe4SwAjmUac6YT,spotify:album:3bueDQEMFcyT5rYgTwkFJh
5yNYF5f3DpOlRhEVBms2Rn,On the Boat Again - Live from the Wiltern Theatre,24,country,Jake Owen,63,1880791,"['contemporary country', 'country', 'country road', 'modern country rock']",Palm Trees & Palm Readers - Jake Owen: Live in Los Angeles,0.537,0.715,7,1,-10.99,0.0398,0.157,2.41e-05,0.931,0.544,94.078,236363,4,1n2pb9Tsfe4SwAjmUac6YT,spotify:album:3bueDQEMFcyT5rYgTwkFJh
1SD2QBnsRggQPpgoG4ZmxG,The Grass Is Always Greener - Live from the Wiltern Theatre,23,country,Jake Owen,63,1880791,"['contemporary country', 'country', 'country road', 'modern country rock']",Palm Trees & Palm Readers - Jake Owen: Live in Los Angeles,0.446,0.803,10,1,-10.133,0.055,0.104,3.74e-06,0.888,0.75,157.898,205205,4,1n2pb9Tsfe4SwAjmUac6YT,spotify:album:3bueDQEMFcyT5rYgTwkFJh
