track_uri,track_name,track_pop,track_genre,artist_name,artist_pop,artist_followers,artist_genres,album,danceability,energy,key,mode,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,artist_uri,album_uri
7pd36FBWYA3gE0HGYaveLM,Last Dream Home (feat. Don Barnes),7,hard-rock,Jim Peterik And World Stage,7,1329,['melodic hard rock'],"Roots & Shoots, Vol. 1",0.613,0.711,9,1,-7.088,0.031,0.119,0.0,0.277,0.672,126.0,268520,4,2ZhzlGcrktVfwnDe8TPqIC,spotify:album:4TUhlu97IBQtzg1VO9GyZ3
1wpVbNAR2efKGpK51GPvDn,Speed King - Live in Montreux 1971,15,hard-rock,Deep Purple,63,5406693,"['album rock', 'classic rock', 'hard rock', 'metal', 'rock']",Machine Head (Super Deluxe),0.42,0.594,2,0,-13.43,0.0899,0.5,0.00948,0.191,0.363,110.933,539453,4,568ZhdwyaiCyOGJRtNYhWf,spotify:album:4ufVNYBWywTd6RJdYCtzE3
3e4X9rJFji2Pcfu74TVM7U,Maybe I'm a Leo (Live 1972) - 2024 Remaster,15,hard-rock,Deep Purple,63,5406693,"['album rock', 'classic rock', 'hard rock', 'metal', 'rock']",Machine Head (Super Deluxe),0.325,0.778,10,1,-8.777,0.0382,0.0387,0.00143,0.533,0.661,178.427,335933,4,568ZhdwyaiCyOGJRtNYhWf,spotify:album:4ufVNYBWywTd6RJdYCtzE3
1J0MczJ5iHNA1KMFw0kstD,Armed and Ready [As Featured in Guitar Hero: Metallica] - 2024 Remaster,12,hard-rock,Michael Schenker Group,40,204730,"['german hard rock', 'glam metal', 'hard rock', 'metal']",Is It Loud Enough? Michael Schenker Group: 1980-1983,0.35,0.912,9,1,-6.697,0.0423,7.3e-05,0.372,0.079,0.841,172.469,247893,4,5uSY4FF3dZMCVSkZslKCHi,spotify:album:7BT6ZNuvnzV0jiPYVtB2b8
4tN9NKyD8zpc4Qzgsa9C58,Space Truckin' (Live 1972) - 2024 Remaster,15,hard-rock,Deep Purple,63,5406693,"['album rock', 'classic rock', 'hard rock', 'metal', 'rock']",Machine Head (Super Deluxe),0.336,0.883,4,0,-10.112,0.15,0.00679,0.475,0.934,0.296,131.631,1331253,4,568ZhdwyaiCyOGJRtNYhWf,spotify:album:4ufVNYBWywTd6RJdYCtzE3
0VPrFdwzDlKvqkoFKBk9Dh,Forever & One,46,hard-rock,Helloween,54,1210205,"['german metal', 'german power metal', 'hard rock', 'metal', 'old school thrash', 'power metal', 'speed metal', 'symphonic metal', 'thrash metal']",Treasure Chest (Bonus Track Edition),0.171,0.725,8,0,-7.208,0.0461,0.0664,3.25e-06,0.339,0.395,188.187,233360,3,4pQN0GB0fNEEOfQCaWotsY,spotify:album:4um5eTePKJMcJGcyht5sNb
1AU27lcrfnnSP306ufTdBj,American Girl,3,hard-rock,Tom Petty and the Heartbreakers,65,2718732,"['album rock', 'classic rock', 'hard rock', 'heartland rock', 'mellow gold', 'rock', 'singer-songwriter', 'soft rock']",70s & 80s & 90s - Top 100 - Greatest Hits,0.552,0.823,2,1,-5.988,0.0332,0.445,0.000129,0.366,0.775,114.514,214733,4,4tX2TplrkIP4v05BNC903e,spotify:album:2M7Ur4jsGJVZFtIlQfxZHA
0Kjq5TtDxhCedMgINyk3bE,On And On [Rough Monitor Mix] - 2024 Remaster,10,hard-rock,Michael Schenker Group,40,204730,"['german hard rock', 'glam metal', 'hard rock', 'metal']",Is It Loud Enough? Michael Schenker Group: 1980-1983,0.44,0.823,0,1,-7.719,0.0749,0.261,0.446,0.115,0.394,138.278,343960,4,5uSY4FF3dZMCVSkZslKCHi,spotify:album:7BT6ZNuvnzV0jiPYVtB2b8
48uHu4IHef9CipiQjJbxZL,Lazy (Live 1972) - 2024 Remaster,15,hard-rock,Deep Purple,63,5406693,"['album rock', 'classic rock', 'hard rock', 'metal', 'rock']",Machine Head (Super Deluxe),0.345,0.84,7,0,-9.189,0.0825,0.0836,0.272,0.803,0.299,101.39,562267,4,568ZhdwyaiCyOGJRtNYhWf,spotify:album:4ufVNYBWywTd6RJdYCtzE3
0GDPqB3RWNp3Wzc0jMFx95,Never Before (Live 1972) - 2024 Remaster,14,hard-rock,Deep Purple,63,5406693,"['album rock', 'classic rock', 'hard rock', 'metal', 'rock']",Machine Head (Super Deluxe),0.459,0.736,11,0,-9.64,0.186,0.203,0.0,0.916,0.715,147.909,318200,4,568ZhdwyaiCyOGJRtNYhWf,spotify:album:4ufVNYBWywTd6RJdYCtzE3
