track_uri,track_name,track_pop,track_genre,artist_name,artist_pop,artist_followers,artist_genres,album,danceability,energy,key,mode,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,artist_uri,album_uri
6cFU62ZhO3CjDxI7KdmNVK,Shine and Shatter,2,metal,Forfeit Thee Untrue,1,472,"['african metal', 'south african metal']",Shine and Shatter,0.473,0.942,3,1,-4.725,0.0676,0.000225,0.0208,0.0616,0.269,144.022,208333,4,3X0C6uhBpjJr462sCcGYjV,spotify:album:5VXJdCzSVBJUXmXq3zrTmn
2PcPG68AXllcGqDn5N11tN,Method and Trap,7,metal,Combat Astronomy,3,1027,"['avant-garde metal', 'jazzcore']",Method and Trap,0.263,0.927,1,1,-10.64,0.0338,0.00468,0.506,0.203,0.373,113.0,386250,3,1qRrxcoa1aDdOAwOtX0bCI,spotify:album:6vrpZ3yQWTmLwPJEg3Yd2i
5dx5bNobRZIWbmOvS7ykF8,Semi-charmed Life,2,metal,Third Eye Blind,61,1548313,"['alternative metal', 'alternative rock', 'pop rock', 'post-grunge']",70s & 80s & 90s - Top 100 - Greatest Hits,0.64,0.864,7,1,-6.576,0.0314,0.00832,0.0,0.123,0.701,102.026,268360,4,6TcnmlCSxihzWOQJ8k0rNS,spotify:album:2M7Ur4jsGJVZFtIlQfxZHA
0OeISgZiICt2NYAt5y5CCl,Easy,5,metal,Faith No More,58,1793343,"['alternative metal', 'alternative rock', 'funk metal', 'funk rock', 'hard rock', 'nu metal', 'post-grunge', 'rap metal', 'rock']",70s & 80s & 90s - Top 100 - Greatest Hits,0.482,0.554,10,0,-6.743,0.0343,0.346,0.000355,0.112,0.374,124.687,186960,4,6GbCJZrI318Ybm8mY36Of5,spotify:album:2M7Ur4jsGJVZFtIlQfxZHA
3xJJ5w9Uf1Z4ZBa4fRXadz,文久三年,10,metal,Dragon Guardian,21,13119,"['japanese power metal', 'kawaii metal']",蒼之志士,0.286,0.999,5,0,-8.137,0.453,0.00119,0.912,0.38,0.0243,118.157,98133,4,0qgh2Na4NslWFCd0pkRYYI,spotify:album:2BVcb6W62OarcXIeOpPzzt
4kk31CTNfRD0w0eIv4QiQr,Miles and Miles - Orchestral Version,8,metal,Storm Seeker,29,29246,"['folk metal', 'hurdy-gurdy', 'medieval rock', 'pirate']",Nautic Force,0.288,0.49,4,0,-8.013,0.0301,0.323,0.000251,0.374,0.361,72.845,234493,4,4zAK8a87dIdPw6xRYvsr4c,spotify:album:0rKT9HnJ7ayc6NQQ71wMdY
7LDsFyPNFZ88khgubPVUxg,Hit and Run - 1979 Demo,6,metal,Thor,20,10795,"['nwothm', 'speed metal', 'vancouver metal']",Ride Of The Iron Horse,0.112,0.811,1,1,-8.634,0.0573,0.00792,0.454,0.409,0.604,85.664,159490,4,4DLElWKADc3A99XmSXwCMj,spotify:album:7t8uGeT5qa9OkUrALAACWg
5OAYfmSezyvnFR1Tu9d0i5,Swords and Tequila,9,metal,Aquilla,4,1275,['new wave of speed metal'],Swords and Tequila,0.302,0.944,2,1,-8.259,0.16,0.00124,0.318,0.338,0.224,190.025,186470,4,1KxfezdQvGlrRA981jJFCl,spotify:album:05SlgVrLVNeUPpnl7U2M8N
2UvtD4zC11HVR5hmHNM9YZ,Mayhem and the Goat,7,metal,Rituals Of The Dead Hand,3,646,['belgian black metal'],The Wretched and the Vile,0.339,0.876,1,0,-12.894,0.0565,3.49e-06,0.895,0.73,0.096,97.488,434000,4,2xg82e7ki5DaafzotzMEzZ,spotify:album:4lKhICMStxgV1C00oICbxn
5jGsnsXEox4xhnEx0UzxPB,I Can and I Will,0,metal,Aetos,0,69,"['arkansas metal', 'black noise']",Love in Unfavored Light,0.24,0.933,7,1,-8.14,0.103,5.7e-06,0.781,0.468,0.0398,119.938,174297,4,6UpjklGtMooWdmSPtm7Gli,spotify:album:3vvro9w3tMKOu5ksYERAGh
